[12:05:32.978] Hook installed OK
[12:05:32.978] WorkerLoop started
[12:05:38.041] ReinstallHook: OK
[12:05:43.051] ReinstallHook: OK
[12:05:48.048] ReinstallHook: OK
[12:05:53.043] ReinstallHook: OK
[12:05:58.051] ReinstallHook: OK
[12:06:03.042] ReinstallHook: OK
[12:06:08.045] ReinstallHook: OK
[12:06:13.055] ReinstallHook: OK
[12:06:18.049] ReinstallHook: OK
[12:06:23.041] ReinstallHook: OK
[12:06:28.055] ReinstallHook: OK
[12:06:33.049] ReinstallHook: OK
[12:06:38.060] ReinstallHook: OK
[12:06:43.075] ReinstallHook: OK
[12:06:48.078] ReinstallHook: OK
[12:06:53.078] ReinstallHook: OK
[12:06:58.082] ReinstallHook: OK
[12:07:03.081] ReinstallHook: OK
[12:07:08.079] ReinstallHook: OK
[12:07:13.080] ReinstallHook: OK
[12:07:18.079] ReinstallHook: OK
[12:07:23.079] ReinstallHook: OK
[12:07:28.078] ReinstallHook: OK
[12:07:33.079] ReinstallHook: OK
[12:07:38.083] ReinstallHook: OK
[12:07:43.080] ReinstallHook: OK
[12:07:48.072] ReinstallHook: OK
[12:07:53.081] ReinstallHook: OK
[12:07:58.077] ReinstallHook: OK
[12:08:03.072] ReinstallHook: OK
[12:08:08.078] ReinstallHook: OK
[12:08:13.086] ReinstallHook: OK
[12:08:18.084] ReinstallHook: OK
[12:08:23.080] ReinstallHook: OK
[12:08:28.081] ReinstallHook: OK
[12:08:33.073] ReinstallHook: OK
[12:08:38.083] ReinstallHook: OK
[12:08:43.080] ReinstallHook: OK
[12:08:48.078] ReinstallHook: OK
[12:08:53.085] ReinstallHook: OK
[12:08:58.083] ReinstallHook: OK
[12:09:03.079] ReinstallHook: OK
[12:09:08.083] ReinstallHook: OK
[12:09:13.075] ReinstallHook: OK
[12:09:18.086] ReinstallHook: OK
[12:09:23.089] ReinstallHook: OK
[12:09:28.089] ReinstallHook: OK
[12:09:33.114] ReinstallHook: OK
[12:09:38.126] ReinstallHook: OK
[12:09:43.121] ReinstallHook: OK
[12:09:48.128] ReinstallHook: OK
[12:09:53.119] ReinstallHook: OK
[12:09:58.128] ReinstallHook: OK
[12:10:03.119] ReinstallHook: OK
[12:10:08.122] ReinstallHook: OK
[12:10:13.148] ReinstallHook: OK
[12:10:18.134] ReinstallHook: OK
[12:10:23.134] ReinstallHook: OK
[12:10:28.149] ReinstallHook: OK
[12:10:33.164] ReinstallHook: OK
[12:10:38.177] ReinstallHook: OK
[12:10:43.175] ReinstallHook: OK
[12:10:48.173] ReinstallHook: OK
[12:10:53.166] ReinstallHook: OK
[12:10:58.192] ReinstallHook: OK
[12:11:03.184] ReinstallHook: OK
[12:11:08.196] ReinstallHook: OK
[12:11:13.188] ReinstallHook: OK
[12:11:18.196] ReinstallHook: OK
[12:11:23.203] ReinstallHook: OK
[12:11:28.211] ReinstallHook: OK
[12:11:33.202] ReinstallHook: OK
[12:11:38.205] ReinstallHook: OK
[12:11:43.204] ReinstallHook: OK
[12:11:48.208] ReinstallHook: OK
[12:11:53.201] ReinstallHook: OK
[12:11:58.208] ReinstallHook: OK
[12:12:03.203] ReinstallHook: OK
[12:12:08.201] ReinstallHook: OK
[12:12:13.215] ReinstallHook: OK
[12:12:18.236] ReinstallHook: OK
[12:12:23.247] ReinstallHook: OK
[12:12:28.255] ReinstallHook: OK
[12:12:33.250] ReinstallHook: OK
[12:12:38.256] ReinstallHook: OK
[12:12:43.254] ReinstallHook: OK
[12:12:48.257] ReinstallHook: OK
[12:12:53.249] ReinstallHook: OK
[12:12:58.246] ReinstallHook: OK
[12:13:03.254] ReinstallHook: OK
[12:13:08.247] ReinstallHook: OK
[12:13:13.274] ReinstallHook: OK
[12:13:18.268] ReinstallHook: OK
[12:13:23.262] ReinstallHook: OK
[12:13:28.272] ReinstallHook: OK
[12:13:33.264] ReinstallHook: OK
[12:13:38.259] ReinstallHook: OK
[12:13:43.260] ReinstallHook: OK
[12:13:48.268] ReinstallHook: OK
[12:13:53.259] ReinstallHook: OK
[12:13:58.261] ReinstallHook: OK
[12:14:03.264] ReinstallHook: OK
[12:14:08.270] ReinstallHook: OK
[12:14:13.262] ReinstallHook: OK
[12:14:18.264] ReinstallHook: OK
[12:14:23.272] ReinstallHook: OK
[12:14:28.265] ReinstallHook: OK
[12:14:33.264] ReinstallHook: OK
[12:14:38.268] ReinstallHook: OK
[12:14:43.270] ReinstallHook: OK
[12:14:48.264] ReinstallHook: OK
[12:14:53.268] ReinstallHook: OK
[12:14:58.274] ReinstallHook: OK
[12:15:03.264] ReinstallHook: OK
[12:15:08.270] ReinstallHook: OK
[12:15:13.264] ReinstallHook: OK
[12:15:18.259] ReinstallHook: OK
[12:15:23.273] ReinstallHook: OK
[12:15:28.262] ReinstallHook: OK
[12:15:33.265] ReinstallHook: OK
[12:15:38.260] ReinstallHook: OK
